Дата,Доллар США,Евро,Индийская рупия,Украинская гривна
01/03/2020,66.991,73.724,0.931,2.726
02/03/2020,66.991,73.724,0.931,2.726
03/03/2020,66.327,73.418,0.92,2.68
04/03/2020,66.444,73.939,0.91,2.664
05/03/2020,66.078,73.737,0.899,2.645
06/03/2020,66.185,73.684,0.904,2.676
07/03/2020,67.517,75.842,0.918,2.722
08/03/2020,67.517,75.842,0.918,2.722
09/03/2020,67.517,75.842,0.918,2.722
10/03/2020,67.517,75.842,0.918,2.722
11/03/2020,72.021,81.859,0.971,2.843
12/03/2020,71.472,81.021,0.97,2.795
13/03/2020,74.027,83.658,0.998,2.866
14/03/2020,73.188,81.861,0.989,2.805
15/03/2020,73.188,81.861,0.989,2.805
16/03/2020,73.188,81.861,0.989,2.805
17/03/2020,74.126,82.747,0.998,2.812
18/03/2020,73.89,82.306,0.998,2.738
19/03/2020,77.213,84.888,1.038,2.84
20/03/2020,80.157,87.267,1.068,2.884
21/03/2020,78.044,84.155,1.041,2.788
22/03/2020,78.044,84.155,1.041,2.788
23/03/2020,78.044,84.155,1.041,2.788
24/03/2020,80.882,86.705,1.065,2.877
25/03/2020,78.849,85.425,1.035,2.837
26/03/2020,77.793,84.148,1.019,2.778
27/03/2020,78.722,85.965,1.045,2.799
28/03/2020,77.733,85.739,1.035,2.752
29/03/2020,77.733,85.739,1.035,2.752
30/03/2020,77.733,85.739,1.035,2.752
31/03/2020,77.733,85.739,1.035,2.752
01/04/2020,77.733,85.739,1.035,2.752
02/04/2020,77.733,85.739,1.035,2.752
03/04/2020,77.733,85.739,1.035,2.752
04/04/2020,77.733,85.739,1.035,2.752
05/04/2020,77.733,85.739,1.035,2.752
06/04/2020,77.733,85.739,1.035,2.752
07/04/2020,76.407,82.635,1.003,2.804
08/04/2020,75.455,82.012,0.998,2.785
09/04/2020,75.75,82.234,0.992,2.778
10/04/2020,74.605,81.088,0.978,2.739
11/04/2020,73.751,80.736,0.972,2.711
12/04/2020,73.751,80.736,0.972,2.711
13/04/2020,73.751,80.736,0.972,2.711
14/04/2020,73.525,80.539,0.964,2.717
15/04/2020,73.315,80.119,0.961,2.699
16/04/2020,73.715,80.673,0.964,2.711
17/04/2020,74.712,81.279,0.972,2.749
18/04/2020,73.944,80.111,0.968,2.732
19/04/2020,73.944,80.111,0.968,2.732
20/04/2020,73.944,80.111,0.968,2.732
21/04/2020,74.666,81.102,0.976,2.758
22/04/2020,76.256,82.616,0.993,2.815
23/04/2020,77.042,83.683,1.005,2.845
24/04/2020,75.129,81.147,0.988,2.783
25/04/2020,74.716,80.253,0.977,2.749
26/04/2020,74.716,80.253,0.977,2.749
27/04/2020,74.716,80.253,0.977,2.749
28/04/2020,74.496,80.761,0.977,2.748
29/04/2020,74.571,80.775,0.979,2.757
30/04/2020,73.689,80.049,0.974,2.736
01/05/2020,72.726,79.119,0.968,2.698
02/05/2020,72.726,79.119,0.968,2.698
03/05/2020,72.726,79.119,0.968,2.698
04/05/2020,72.726,79.119,0.968,2.698
05/05/2020,72.726,79.119,0.968,2.698
06/05/2020,72.726,79.119,0.968,2.698
07/05/2020,73.972,80.06,0.976,2.746
08/05/2020,74.117,80.061,0.977,2.764
09/05/2020,73.873,80.004,0.978,2.754
10/05/2020,73.873,80.004,0.978,2.754
11/05/2020,73.873,80.004,0.978,2.754
12/05/2020,73.873,80.004,0.978,2.754
13/05/2020,73.433,79.439,0.973,2.739
14/05/2020,73.582,79.778,0.975,2.756
15/05/2020,73.93,79.903,0.978,2.772
16/05/2020,73.206,79.128,0.969,2.748
17/05/2020,73.206,79.128,0.969,2.748
18/05/2020,73.206,79.128,0.969,2.748
19/05/2020,72.98,78.942,0.961,2.746
20/05/2020,72.392,79.168,0.957,2.732
21/05/2020,72.338,79.181,0.954,2.722
22/05/2020,70.924,77.796,0.938,2.648
23/05/2020,71.88,78.443,0.946,2.687
24/05/2020,71.88,78.443,0.946,2.687
25/05/2020,71.88,78.443,0.946,2.687
26/05/2020,71.596,77.882,0.942,2.662
27/05/2020,71.141,77.785,0.94,2.644
28/05/2020,71.064,77.907,0.939,2.631
29/05/2020,71.101,78.261,0.938,2.644
30/05/2020,70.752,78.549,0.936,2.629
31/05/2020,70.752,78.549,0.936,2.629
01/06/2020,70.752,78.549,0.936,2.629
02/06/2020,69.711,77.638,0.923,2.599
03/06/2020,68.983,76.778,0.915,2.574
04/06/2020,68.341,76.624,0.905,2.552
05/06/2020,69.015,77.325,0.913,2.585
06/06/2020,68.632,77.966,0.908,2.58
07/06/2020,68.632,77.966,0.908,2.58
08/06/2020,68.632,77.966,0.908,2.58
09/06/2020,68.312,77.186,0.904,2.57
10/06/2020,68.674,77.348,0.908,2.578
11/06/2020,68.618,77.923,0.908,2.576
12/06/2020,69.122,78.522,0.912,2.599
13/06/2020,69.122,78.522,0.912,2.599
14/06/2020,69.122,78.522,0.912,2.599
15/06/2020,69.122,78.522,0.912,2.599
16/06/2020,70.395,79.145,0.926,2.622
17/06/2020,69.752,79.043,0.915,2.608
18/06/2020,69.482,78.383,0.912,2.595
19/06/2020,69.618,78.292,0.914,2.599
20/06/2020,69.573,78.005,0.913,2.603
21/06/2020,69.573,78.005,0.913,2.603
22/06/2020,69.573,78.005,0.913,2.603
23/06/2020,69.484,77.829,0.914,2.606
24/06/2020,68.838,77.683,0.91,2.587
25/06/2020,68.838,77.759,0.909,2.582
26/06/2020,69.466,78.059,0.918,2.604
27/06/2020,69.128,77.541,0.914,2.592
28/06/2020,69.128,77.541,0.914,2.592
29/06/2020,69.128,77.541,0.914,2.592
30/06/2020,69.951,78.681,0.926,2.617
